1691396612992@DebuggableApplications: #MyCalc#
1691396612994@DebuggableApplications: #AudioRecorder#
1691396613018@DeveloperOptions: adb: #false# devops: #true#
1691396613029@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396613034@Ptracer: #started#
1691396615010@SensorListener: #firstcalibrationdone#
1691396615010@SensorListener: #deviceiscorrectlyused#
1691396615129@SensorListener: #calibrationdone#
1691396615159@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396615160@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396615161@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396615939@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396616139@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396616344@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396619568@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396619970@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396620779@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396620781@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396620980@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396621182@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396621795@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396622029@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396622997@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396623200@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396623401@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396623602@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396624409@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396625422@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396625619@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396628096@AppManagement: #onpause#
