1691399363559@DebuggableApplications: #MyCalc#
1691399363563@DebuggableApplications: #AudioRecorder#
1691399363592@DeveloperOptions: adb: #false# devops: #true#
1691399363611@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399363613@Ptracer: #started#
1691399365584@SensorListener: #firstcalibrationdone#
1691399365584@SensorListener: #deviceiscorrectlyused#
1691399365627@SensorListener: #calibrationdone#
1691399365669@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399365675@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399365830@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399366644@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399367240@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399369866@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399370670@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399371476@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399371476@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399374301@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399374511@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399380176@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399380218@AppManagement: #onpause#
