1691408076901@DebuggableApplications: #MyCalc#
1691408076905@DebuggableApplications: #AudioRecorder#
1691408076926@DeveloperOptions: adb: #false# devops: #true#
1691408076931@Ptracer: #started#
1691408076943@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691408078928@SensorListener: #firstcalibrationdone#
1691408078929@SensorListener: #deviceiscorrectlyused#
1691408078948@SensorListener: #calibrationdone#
1691408078977@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691408078978@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691408079148@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408079349@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691408079753@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408080157@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691408080764@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408081218@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691408081971@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408082174@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691408084393@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408084594@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691408085023@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691408085024@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1691408085805@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #0#
1691408090443@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #359#
1691408090646@SensorListener: Numbers: Azimuth #1# Pitch #2# Roll #0#
1691408092657@AppManagement: #onpause#
