1691399595979@DebuggableApplications: #MyCalc#
1691399595983@DebuggableApplications: #AudioRecorder#
1691399596011@DeveloperOptions: adb: #false# devops: #true#
1691399596016@Ptracer: #started#
1691399596077@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399598004@SensorListener: #firstcalibrationdone#
1691399598005@SensorListener: #deviceiscorrectlyused#
1691399598103@SensorListener: #calibrationdone#
1691399598162@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399598163@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691399598163@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399598303@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399598908@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399598909@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399599154@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399600320@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399601129@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399601329@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399602215@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399611984@AppManagement: #onpause#
