1691407231708@DebuggableApplications: #MyCalc#
1691407231711@DebuggableApplications: #AudioRecorder#
1691407231732@DeveloperOptions: adb: #false# devops: #true#
1691407231739@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691407231743@Ptracer: #started#
1691407233731@SensorListener: #firstcalibrationdone#
1691407233731@SensorListener: #deviceiscorrectlyused#
1691407233836@SensorListener: #calibrationdone#
1691407233899@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691407233900@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407233902@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407234036@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407234245@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407234441@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407234642@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407234845@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407235501@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407236459@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407243544@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407243745@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407248396@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407248562@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407251877@AppManagement: #onpause#
