1691399736853@DebuggableApplications: #MyCalc#
1691399736857@DebuggableApplications: #AudioRecorder#
1691399736889@DeveloperOptions: adb: #false# devops: #true#
1691399736895@Ptracer: #started#
1691399736918@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399738882@SensorListener: #firstcalibrationdone#
1691399738882@SensorListener: #deviceiscorrectlyused#
1691399738993@SensorListener: #calibrationdone#
1691399739057@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399739058@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691399739194@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399741411@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399741612@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399742626@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399742839@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399745042@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399745647@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399747058@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399747260@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399747664@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399747866@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399748067@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399748672@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399748874@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691399748877@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399749111@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399749305@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399749531@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399749887@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399750287@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399750487@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399750488@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399750689@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399751294@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399752102@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399752593@AppManagement: #onpause#
