1691407211219@DebuggableApplications: #MyCalc#
1691407211223@DebuggableApplications: #AudioRecorder#
1691407211246@DeveloperOptions: adb: #false# devops: #true#
1691407211260@Ptracer: #started#
1691407211264@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691407213241@SensorListener: #firstcalibrationdone#
1691407213241@SensorListener: #deviceiscorrectlyused#
1691407213351@SensorListener: #calibrationdone#
1691407213431@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691407213432@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407213433@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407214161@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407215167@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407215771@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407217183@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407218191@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407218409@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407219201@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407219401@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407221032@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407222226@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407226261@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407226664@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407227068@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407227472@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407228389@AppManagement: #onpause#
