1691405941765@DebuggableApplications: #MyCalc#
1691405941769@DebuggableApplications: #AudioRecorder#
1691405941796@DeveloperOptions: adb: #false# devops: #true#
1691405941808@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691405941823@Ptracer: #started#
1691405943792@SensorListener: #firstcalibrationdone#
1691405943792@SensorListener: #deviceiscorrectlyused#
1691405943828@SensorListener: #calibrationdone#
1691405943845@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691405943846@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691405944030@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405946249@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405946453@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405946454@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405947055@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405947258@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405947259@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405948064@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405948522@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405948673@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405948872@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405949128@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405949679@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405950284@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405950487@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405950888@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405951296@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691405951300@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405951545@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405952503@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405952703@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405953511@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405954117@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691405954795@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405957547@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405957954@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405958247@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405958368@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691405958396@AppManagement: #onpause#
