1691396508563@DebuggableApplications: #MyCalc#
1691396508567@DebuggableApplications: #AudioRecorder#
1691396508595@DeveloperOptions: adb: #false# devops: #true#
1691396508599@Ptracer: #started#
1691396508610@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396510588@SensorListener: #firstcalibrationdone#
1691396510588@SensorListener: #deviceiscorrectlyused#
1691396510731@SensorListener: #calibrationdone#
1691396510753@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396510754@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396510933@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396511135@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396512203@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396512346@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396512949@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396513353@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396514781@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396515571@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396515775@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396516380@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396516783@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396517591@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396519206@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396520012@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396520817@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396521019@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396521423@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396521681@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396522836@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396525472@AppManagement: #onpause#
