1691396969049@DebuggableApplications: #MyCalc#
1691396969054@DebuggableApplications: #AudioRecorder#
1691396969079@DeveloperOptions: adb: #false# devops: #true#
1691396969090@Ptracer: #started#
1691396969101@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396971074@SensorListener: #firstcalibrationdone#
1691396971074@SensorListener: #deviceiscorrectlyused#
1691396971212@SensorListener: #calibrationdone#
1691396971266@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396971266@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396971414@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396971616@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396972427@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396972691@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396974238@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396974642@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396975045@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396975651@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396976458@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396977467@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396977666@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396977868@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396978070@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396978474@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396979570@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396979686@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396980291@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396980491@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396981096@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396983113@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396983529@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396987447@AppManagement: #onpause#
