1691409647598@DebuggableApplications: #MyCalc#
1691409647602@DebuggableApplications: #AudioRecorder#
1691409647626@DeveloperOptions: adb: #false# devops: #true#
1691409647632@Ptracer: #started#
1691409647653@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691409649621@SensorListener: #firstcalibrationdone#
1691409649621@SensorListener: #deviceiscorrectlyused#
1691409649764@SensorListener: #calibrationdone#
1691409649801@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691409649802@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409649965@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409651017@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409651181@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409652992@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409653193@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409654840@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409655044@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409656218@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409656623@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409658274@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409658275@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409658472@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409663280@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409663481@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409663886@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409664490@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409664693@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409664694@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409664895@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409665838@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409665950@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
