1691409584784@DebuggableApplications: #MyCalc#
1691409584787@DebuggableApplications: #AudioRecorder#
1691409584813@DeveloperOptions: adb: #false# devops: #true#
1691409584831@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691409584833@Ptracer: #started#
1691409586807@SensorListener: #firstcalibrationdone#
1691409586807@SensorListener: #deviceiscorrectlyused#
1691409586938@SensorListener: #calibrationdone#
1691409586987@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691409586987@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409587159@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409587370@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409587627@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409587772@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409587947@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409588151@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409588350@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409588753@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409590666@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409590993@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409594417@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409595213@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409595410@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409595412@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409599041@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409599445@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409600657@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409601261@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409601663@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691409601877@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409602187@AppManagement: #onpause#
