1691401779802@DebuggableApplications: #MyCalc#
1691401779806@DebuggableApplications: #AudioRecorder#
1691401779837@DeveloperOptions: adb: #false# devops: #true#
1691401779846@Ptracer: #started#
1691401779863@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691401781827@SensorListener: #firstcalibrationdone#
1691401781827@SensorListener: #deviceiscorrectlyused#
1691401781948@SensorListener: #calibrationdone#
1691401781973@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691401781974@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401782150@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691401783563@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401783828@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691401783998@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401784369@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401784773@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401784774@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401786404@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401786789@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401788404@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401788605@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401788809@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401789011@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401789248@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691401789613@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691401795663@AppManagement: #onpause#
