1691401090922@DebuggableApplications: #MyCalc#
1691401090928@DebuggableApplications: #AudioRecorder#
1691401090947@DeveloperOptions: adb: #false# devops: #true#
1691401090952@Ptracer: #started#
1691401090972@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691401092942@SensorListener: #firstcalibrationdone#
1691401092942@SensorListener: #deviceiscorrectlyused#
1691401093060@SensorListener: #calibrationdone#
1691401093106@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691401093108@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401093261@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401093509@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401093698@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401093868@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401096694@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401096899@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401098417@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401098910@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401099111@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401099312@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401099716@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401099918@SensorListener: Numbers: Azimuth #3# Pitch #2# Roll #359#
1691401100119@SensorListener: Numbers: Azimuth #4# Pitch #2# Roll #359#
1691401100525@SensorListener: Numbers: Azimuth #4# Pitch #2# Roll #0#
1691401104097@AppManagement: #onpause#
