1691408371251@DebuggableApplications: #MyCalc#
1691408371254@DebuggableApplications: #AudioRecorder#
1691408371287@DeveloperOptions: adb: #false# devops: #true#
1691408371299@Ptracer: #started#
1691408371307@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691408373279@SensorListener: #firstcalibrationdone#
1691408373279@SensorListener: #deviceiscorrectlyused#
1691408373401@SensorListener: #calibrationdone#
1691408373428@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691408373428@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691408373604@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691408374611@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691408375469@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691408376428@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691408378041@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691408378245@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691408378445@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691408379050@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691408383351@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691408384094@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691408391764@AppManagement: #onpause#
