1691406040847@DebuggableApplications: #MyCalc#
1691406040850@DebuggableApplications: #AudioRecorder#
1691406040879@Ptracer: #started#
1691406040884@DeveloperOptions: adb: #false# devops: #true#
1691406040893@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691406042870@SensorListener: #firstcalibrationdone#
1691406042870@SensorListener: #deviceiscorrectlyused#
1691406042920@SensorListener: #calibrationdone#
1691406042940@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691406042940@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691406043123@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406043324@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406043759@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406044738@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691406044941@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406045745@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406048771@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406049578@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406050622@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406050809@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406051191@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406051395@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406054217@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406054623@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691406054824@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406055228@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406055429@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691406055429@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406056638@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406057021@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406057119@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406057142@AppManagement: #onpause#
