1691399501749@DebuggableApplications: #MyCalc#
1691399501752@DebuggableApplications: #AudioRecorder#
1691399501772@DeveloperOptions: adb: #false# devops: #true#
1691399501778@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399501782@Ptracer: #started#
1691399503764@SensorListener: #firstcalibrationdone#
1691399503765@SensorListener: #deviceiscorrectlyused#
1691399503902@SensorListener: #calibrationdone#
1691399503928@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399503929@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691399504104@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399504522@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691399504716@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691399504913@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399504916@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399505117@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399508946@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399509803@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399510154@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399510564@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399510761@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399511366@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399512172@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399512507@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399514597@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399514796@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399515868@AppManagement: #onpause#
