1691395943127@DebuggableApplications: #MyCalc#
1691395943130@DebuggableApplications: #AudioRecorder#
1691395943153@DeveloperOptions: adb: #false# devops: #true#
1691395943162@Ptracer: #started#
1691395943165@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691395945145@SensorListener: #firstcalibrationdone#
1691395945145@SensorListener: #deviceiscorrectlyused#
1691395945240@SensorListener: #calibrationdone#
1691395945281@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691395945281@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395945440@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395946339@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395947255@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395947657@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395948263@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395948485@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395948872@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395949273@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395949474@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395950280@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395950498@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395951489@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395952096@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395952701@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395952952@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395954518@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395954920@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395955326@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395955525@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395956144@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395956148@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395956345@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395956533@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395956734@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395956941@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395956943@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395957542@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691395958350@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395958551@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691395958954@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691395961178@AppManagement: #onpause#
