1691396402498@DebuggableApplications: #MyCalc#
1691396402500@DebuggableApplications: #AudioRecorder#
1691396402521@DeveloperOptions: adb: #false# devops: #true#
1691396402525@Ptracer: #started#
1691396402537@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396404518@SensorListener: #firstcalibrationdone#
1691396404518@SensorListener: #deviceiscorrectlyused#
1691396404664@SensorListener: #calibrationdone#
1691396404718@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396404721@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396404723@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396405466@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396406879@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396407079@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396407731@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396407888@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396409097@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396409300@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691396415582@AppManagement: #onpause#
