1691399214398@DebuggableApplications: #MyCalc#
1691399214402@DebuggableApplications: #AudioRecorder#
1691399214425@DeveloperOptions: adb: #false# devops: #true#
1691399214431@Ptracer: #started#
1691399214454@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399216418@SensorListener: #firstcalibrationdone#
1691399216418@SensorListener: #deviceiscorrectlyused#
1691399216468@SensorListener: #calibrationdone#
1691399216523@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399216525@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399216670@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399217541@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399217883@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399218486@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399218888@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399219291@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399219695@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399220098@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399220503@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399220799@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399221118@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691399221309@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399221509@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399221713@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399221914@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399222115@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399222317@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399231085@AppManagement: #onpause#
