1691402316311@DebuggableApplications: #MyCalc#
1691402316318@DebuggableApplications: #AudioRecorder#
1691402316345@DeveloperOptions: adb: #false# devops: #true#
1691402316350@Ptracer: #started#
1691402316362@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691402318337@SensorListener: #firstcalibrationdone#
1691402318337@SensorListener: #deviceiscorrectlyused#
1691402318502@SensorListener: #calibrationdone#
1691402318563@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691402318563@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691402318705@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402323551@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691402323748@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402323949@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691402324353@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402324759@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691402324958@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402331817@AppManagement: #onpause#
