1691739478239@DebuggableApplications: #MyCalc#
1691739478242@DebuggableApplications: #AudioRecorder#
1691739478272@DeveloperOptions: adb: #false# devops: #true#
1691739478282@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691739478291@Ptracer: #started#
1691739480271@SensorListener: #firstcalibrationdone#
1691739480271@SensorListener: #deviceiscorrectlyused#
1691739480306@SensorListener: #calibrationdone#
1691739480343@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691739480344@SensorListener: Numbers: Azimuth #0# Pitch #-21# Roll #0#
1691739480509@SensorListener: Numbers: Azimuth #1# Pitch #-23# Roll #0#
1691739480715@SensorListener: Numbers: Azimuth #1# Pitch #-23# Roll #1#
1691739481114@SensorListener: Numbers: Azimuth #2# Pitch #-24# Roll #2#
1691739481324@SensorListener: Numbers: Azimuth #2# Pitch #-25# Roll #5#
1691739481325@SensorListener: Numbers: Azimuth #2# Pitch #-25# Roll #6#
1691739481604@SensorListener: Numbers: Azimuth #1# Pitch #-23# Roll #3#
1691739481789@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #1#
1691739482026@SensorListener: Numbers: Azimuth #2# Pitch #-21# Roll #4#
1691739482160@SensorListener: Numbers: Azimuth #0# Pitch #-20# Roll #1#
1691739482168@SensorListener: Numbers: Azimuth #1# Pitch #-19# Roll #1#
1691739482365@SensorListener: Numbers: Azimuth #2# Pitch #-22# Roll #5#
1691739482554@SensorListener: Numbers: Azimuth #1# Pitch #-22# Roll #2#
1691739482778@SensorListener: Numbers: Azimuth #2# Pitch #-20# Roll #2#
1691739483022@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #7#
1691739483023@SensorListener: Numbers: Azimuth #2# Pitch #-23# Roll #4#
1691739483213@SensorListener: Numbers: Azimuth #4# Pitch #-23# Roll #6#
1691739483366@SensorListener: Numbers: Azimuth #4# Pitch #-23# Roll #8#
1691739483560@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #6#
1691739483846@SensorListener: Numbers: Azimuth #2# Pitch #-17# Roll #4#
1691739483850@SensorListener: Numbers: Azimuth #1# Pitch #-18# Roll #4#
1691739483964@SensorListener: Numbers: Azimuth #1# Pitch #-18# Roll #3#
1691739484161@SensorListener: Numbers: Azimuth #1# Pitch #-20# Roll #3#
1691739484455@SensorListener: Numbers: Azimuth #2# Pitch #-18# Roll #2#
1691739484548@SensorListener: Numbers: Azimuth #2# Pitch #-17# Roll #2#
1691739484554@SensorListener: Numbers: Azimuth #2# Pitch #-18# Roll #3#
1691739484747@SensorListener: Numbers: Azimuth #2# Pitch #-20# Roll #4#
1691739485364@SensorListener: Numbers: Azimuth #2# Pitch #-19# Roll #4#
1691739485787@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #5#
1691739485958@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #4#
1691739486226@SensorListener: Numbers: Azimuth #3# Pitch #-19# Roll #4#
1691739486232@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #4#
1691739486440@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #5#
1691739486635@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #6#
1691739486878@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #5#
1691739486970@SensorListener: Numbers: Azimuth #5# Pitch #-22# Roll #6#
1691739486971@SensorListener: Numbers: Azimuth #5# Pitch #-21# Roll #7#
1691739487373@SensorListener: Numbers: Azimuth #5# Pitch #-20# Roll #6#
1691739487582@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #5#
1691739487769@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #4#
1691739487769@SensorListener: Numbers: Azimuth #3# Pitch #-19# Roll #4#
1691739487971@SensorListener: Numbers: Azimuth #3# Pitch #-20# Roll #3#
1691739488200@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #3#
1691739488578@SensorListener: Numbers: Azimuth #5# Pitch #-21# Roll #4#
1691739488579@SensorListener: Numbers: Azimuth #5# Pitch #-21# Roll #6#
1691739488791@SensorListener: Numbers: Azimuth #4# Pitch #-21# Roll #5#
1691739489039@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #4#
1691739489207@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #4#
1691739489389@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #3#
1691739489390@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #2#
1691739489788@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #3#
1691739490210@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #4#
1691739490212@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #6#
1691739490447@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #3#
1691739490631@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #3#
1691739490821@SensorListener: Numbers: Azimuth #4# Pitch #-18# Roll #3#
1691739491035@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #3#
1691739491036@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #5#
1691739491224@SensorListener: Numbers: Azimuth #5# Pitch #-17# Roll #4#
1691739491413@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #3#
1691739491633@SensorListener: Numbers: Azimuth #5# Pitch #-20# Roll #5#
1691739491910@SensorListener: Numbers: Azimuth #5# Pitch #-20# Roll #4#
1691739491914@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #5#
1691739492024@SensorListener: Numbers: Azimuth #6# Pitch #-18# Roll #6#
1691739492263@SensorListener: Numbers: Azimuth #5# Pitch #-21# Roll #5#
1691739492559@SensorListener: Numbers: Azimuth #6# Pitch #-21# Roll #4#
1691739492706@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #5#
1691739492710@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #4#
1691739492930@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #3#
1691739493042@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #6#
1691739493233@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #3#
1691739493469@SensorListener: Numbers: Azimuth #5# Pitch #-18# Roll #3#
1691739493470@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #3#
1691739493644@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #4#
1691739493838@SensorListener: Numbers: Azimuth #6# Pitch #-21# Roll #5#
1691739494028@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #4#
1691739494242@SensorListener: Numbers: Azimuth #6# Pitch #-20# Roll #5#
1691739494457@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #3#
1691739494858@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #5#
1691739495036@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #4#
1691739495036@SensorListener: Numbers: Azimuth #5# Pitch #-19# Roll #4#
1691739495252@SensorListener: Numbers: Azimuth #4# Pitch #-18# Roll #4#
1691739495434@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #3#
1691739495635@SensorListener: Numbers: Azimuth #4# Pitch #-19# Roll #2#
1691739495840@SensorListener: Numbers: Azimuth #5# Pitch #-20# Roll #1#
1691739495840@SensorListener: Numbers: Azimuth #5# Pitch #-18# Roll #1#
1691739496040@SensorListener: Numbers: Azimuth #4# Pitch #-17# Roll #1#
1691739496243@SensorListener: Numbers: Azimuth #4# Pitch #-16# Roll #1#
1691739496443@SensorListener: Numbers: Azimuth #3# Pitch #-21# Roll #0#
1691739496643@SensorListener: Numbers: Azimuth #5# Pitch #-22# Roll #359#
1691739496644@SensorListener: Numbers: Azimuth #4# Pitch #-21# Roll #359#
1691739496860@SensorListener: Numbers: Azimuth #5# Pitch #-20# Roll #0#
1691739497049@SensorListener: Numbers: Azimuth #4# Pitch #-18# Roll #0#
1691739497250@SensorListener: Numbers: Azimuth #4# Pitch #-20# Roll #0#
1691739497476@SensorListener: Numbers: Azimuth #5# Pitch #-21# Roll #1#
