1691399150327@DebuggableApplications: #MyCalc#
1691399150340@DebuggableApplications: #AudioRecorder#
1691399150370@DeveloperOptions: adb: #false# devops: #true#
1691399150374@Ptracer: #started#
1691399150393@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691399152365@SensorListener: #firstcalibrationdone#
1691399152365@SensorListener: #deviceiscorrectlyused#
1691399152428@SensorListener: #calibrationdone#
1691399152452@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691399152452@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399152630@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399152632@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691399153072@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399153436@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399153640@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399154041@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399159525@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399159707@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399163117@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399163319@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399163923@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691399164529@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691399166352@AppManagement: #onpause#
