1691407168623@DebuggableApplications: #MyCalc#
1691407168629@DebuggableApplications: #AudioRecorder#
1691407168658@DeveloperOptions: adb: #false# devops: #true#
1691407168666@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691407168669@Ptracer: #started#
1691407170650@SensorListener: #firstcalibrationdone#
1691407170650@SensorListener: #deviceiscorrectlyused#
1691407170730@SensorListener: #calibrationdone#
1691407170788@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691407170803@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691407170804@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407171781@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407172141@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407173148@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407173551@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407173753@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407173956@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407175972@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407176201@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407178839@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691407179001@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691407186509@AppManagement: #onpause#
