1691739405069@DebuggableApplications: #MyCalc#
1691739405076@DebuggableApplications: #AudioRecorder#
1691739405101@DeveloperOptions: adb: #false# devops: #true#
1691739405106@Ptracer: #started#
1691739405127@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691739407096@SensorListener: #firstcalibrationdone#
1691739407096@SensorListener: #deviceiscorrectlyused#
1691739407271@SensorListener: #calibrationdone#
1691739407339@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691739407341@SensorListener: Numbers: Azimuth #0# Pitch #-30# Roll #0#
1691739407344@SensorListener: Numbers: Azimuth #359# Pitch #-32# Roll #359#
1691739407346@SensorListener: Numbers: Azimuth #357# Pitch #-33# Roll #359#
1691739407621@SensorListener: Numbers: Azimuth #357# Pitch #-32# Roll #358#
1691739407794@SensorListener: Numbers: Azimuth #358# Pitch #-34# Roll #358#
1691739407950@SensorListener: Numbers: Azimuth #357# Pitch #-36# Roll #358#
1691739407953@SensorListener: Numbers: Azimuth #359# Pitch #-37# Roll #359#
1691739408222@SensorListener: Numbers: Azimuth #357# Pitch #-38# Roll #1#
1691739408352@SensorListener: Numbers: Azimuth #357# Pitch #-38# Roll #2#
1691739408590@SensorListener: Numbers: Azimuth #356# Pitch #-36# Roll #1#
1691739408894@SensorListener: Numbers: Azimuth #357# Pitch #-36# Roll #2#
1691739408904@SensorListener: Numbers: Azimuth #356# Pitch #-37# Roll #0#
1691739408962@SensorListener: Numbers: Azimuth #359# Pitch #-37# Roll #359#
1691739409161@SensorListener: Numbers: Azimuth #359# Pitch #-38# Roll #358#
1691739409355@SensorListener: Numbers: Azimuth #358# Pitch #-40# Roll #357#
1691739409614@SensorListener: Numbers: Azimuth #358# Pitch #-40# Roll #356#
1691739409614@SensorListener: Numbers: Azimuth #0# Pitch #-38# Roll #357#
1691739409825@SensorListener: Numbers: Azimuth #1# Pitch #-37# Roll #3#
1691739410046@SensorListener: Numbers: Azimuth #0# Pitch #-37# Roll #6#
1691739410205@SensorListener: Numbers: Azimuth #0# Pitch #-37# Roll #9#
1691739410440@SensorListener: Numbers: Azimuth #353# Pitch #-38# Roll #4#
1691739410442@SensorListener: Numbers: Azimuth #358# Pitch #-37# Roll #2#
1691739410599@SensorListener: Numbers: Azimuth #0# Pitch #-37# Roll #2#
1691739410774@SensorListener: Numbers: Azimuth #0# Pitch #-38# Roll #2#
1691739410965@SensorListener: Numbers: Azimuth #0# Pitch #-37# Roll #1#
1691739411167@SensorListener: Numbers: Azimuth #0# Pitch #-42# Roll #1#
1691739411168@SensorListener: Numbers: Azimuth #359# Pitch #-43# Roll #1#
1691739411369@SensorListener: Numbers: Azimuth #359# Pitch #-41# Roll #3#
1691739411580@SensorListener: Numbers: Azimuth #358# Pitch #-41# Roll #3#
1691739411777@SensorListener: Numbers: Azimuth #357# Pitch #-39# Roll #3#
1691739412039@SensorListener: Numbers: Azimuth #355# Pitch #-39# Roll #359#
1691739412041@SensorListener: Numbers: Azimuth #353# Pitch #-39# Roll #355#
1691739412201@SensorListener: Numbers: Azimuth #357# Pitch #-39# Roll #357#
1691739412395@SensorListener: Numbers: Azimuth #359# Pitch #-38# Roll #357#
1691739412627@SensorListener: Numbers: Azimuth #359# Pitch #-34# Roll #0#
1691739412784@SensorListener: Numbers: Azimuth #359# Pitch #-30# Roll #1#
1691739412785@SensorListener: Numbers: Azimuth #0# Pitch #-27# Roll #0#
1691739413009@SensorListener: Numbers: Azimuth #2# Pitch #-29# Roll #1#
1691739413191@SensorListener: Numbers: Azimuth #1# Pitch #-24# Roll #359#
1691739413385@SensorListener: Numbers: Azimuth #0# Pitch #-25# Roll #359#
1691739413642@SensorListener: Numbers: Azimuth #1# Pitch #-28# Roll #0#
1691739413645@SensorListener: Numbers: Azimuth #1# Pitch #-28# Roll #1#
1691739413796@SensorListener: Numbers: Azimuth #1# Pitch #-30# Roll #2#
1691739413992@SensorListener: Numbers: Azimuth #1# Pitch #-35# Roll #2#
1691739414196@SensorListener: Numbers: Azimuth #2# Pitch #-35# Roll #2#
1691739414397@SensorListener: Numbers: Azimuth #0# Pitch #-35# Roll #1#
1691739414400@SensorListener: Numbers: Azimuth #0# Pitch #-35# Roll #0#
1691739414597@SensorListener: Numbers: Azimuth #1# Pitch #-39# Roll #3#
1691739414798@SensorListener: Numbers: Azimuth #2# Pitch #-42# Roll #7#
1691739415039@SensorListener: Numbers: Azimuth #3# Pitch #-44# Roll #12#
1691739415235@SensorListener: Numbers: Azimuth #357# Pitch #-44# Roll #10#
1691739415236@SensorListener: Numbers: Azimuth #357# Pitch #-43# Roll #8#
1691739415421@SensorListener: Numbers: Azimuth #353# Pitch #-40# Roll #1#
1691739415603@SensorListener: Numbers: Azimuth #355# Pitch #-39# Roll #359#
1691739415805@SensorListener: Numbers: Azimuth #354# Pitch #-39# Roll #357#
1691739416012@SensorListener: Numbers: Azimuth #354# Pitch #-40# Roll #356#
1691739416013@SensorListener: Numbers: Azimuth #357# Pitch #-41# Roll #359#
1691739416241@SensorListener: Numbers: Azimuth #355# Pitch #-42# Roll #0#
1691739416709@SensorListener: Numbers: Azimuth #356# Pitch #-43# Roll #0#
1691739416845@SensorListener: Numbers: Azimuth #355# Pitch #-43# Roll #0#
1691739416846@SensorListener: Numbers: Azimuth #354# Pitch #-42# Roll #358#
1691739417042@SensorListener: Numbers: Azimuth #355# Pitch #-43# Roll #358#
1691739417240@SensorListener: Numbers: Azimuth #354# Pitch #-44# Roll #357#
1691739417429@SensorListener: Numbers: Azimuth #352# Pitch #-43# Roll #354#
1691739417622@SensorListener: Numbers: Azimuth #355# Pitch #-41# Roll #355#
1691739417623@SensorListener: Numbers: Azimuth #356# Pitch #-37# Roll #357#
1691739417823@SensorListener: Numbers: Azimuth #354# Pitch #-30# Roll #359#
1691739418052@SensorListener: Numbers: Azimuth #357# Pitch #-25# Roll #0#
1691739418262@SensorListener: Numbers: Azimuth #357# Pitch #-25# Roll #358#
1691739418448@SensorListener: Numbers: Azimuth #357# Pitch #-28# Roll #357#
1691739418453@SensorListener: Numbers: Azimuth #356# Pitch #-31# Roll #355#
1691739418657@SensorListener: Numbers: Azimuth #354# Pitch #-37# Roll #350#
1691739418842@SensorListener: Numbers: Azimuth #358# Pitch #-36# Roll #352#
1691739419041@SensorListener: Numbers: Azimuth #356# Pitch #-37# Roll #351#
1691739419236@SensorListener: Numbers: Azimuth #356# Pitch #-39# Roll #352#
1691739419238@SensorListener: Numbers: Azimuth #352# Pitch #-38# Roll #348#
1691739419452@SensorListener: Numbers: Azimuth #352# Pitch #-35# Roll #350#
1691739419782@SensorListener: Numbers: Azimuth #348# Pitch #-36# Roll #351#
1691739419949@SensorListener: Numbers: Azimuth #347# Pitch #-39# Roll #353#
1691739419970@AppManagement: #onpause#
