1691396634442@DebuggableApplications: #MyCalc#
1691396634449@DebuggableApplications: #AudioRecorder#
1691396634475@DeveloperOptions: adb: #false# devops: #true#
1691396634478@Ptracer: #started#
1691396634501@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396636469@SensorListener: #firstcalibrationdone#
1691396636469@SensorListener: #deviceiscorrectlyused#
1691396636576@SensorListener: #calibrationdone#
1691396636606@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396636607@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396636778@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396637585@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396637787@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396639199@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396639201@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396641013@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396642428@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396642628@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691396643862@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691396644040@SensorListener: Numbers: Azimuth #2# Pitch #2# Roll #359#
1691396644645@SensorListener: Numbers: Azimuth #2# Pitch #2# Roll #0#
1691396650139@AppManagement: #onpause#
