1691396737918@DebuggableApplications: #MyCalc#
1691396737921@DebuggableApplications: #AudioRecorder#
1691396737945@DeveloperOptions: adb: #false# devops: #true#
1691396737951@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691396737955@Ptracer: #started#
1691396739940@SensorListener: #firstcalibrationdone#
1691396739940@SensorListener: #deviceiscorrectlyused#
1691396740029@SensorListener: #calibrationdone#
1691396740083@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691396740083@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396740230@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396740436@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396740658@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396741844@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691396746902@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396747142@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396747289@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396748500@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396748702@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396748903@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396749912@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396750123@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396750719@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396750924@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396751122@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396751324@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396753342@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691396753551@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691396754227@AppManagement: #onpause#
