1691401176784@DebuggableApplications: #MyCalc#
1691401176789@DebuggableApplications: #AudioRecorder#
1691401176816@DeveloperOptions: adb: #false# devops: #true#
1691401176824@Ptracer: #started#
1691401176833@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691401178807@SensorListener: #firstcalibrationdone#
1691401178808@SensorListener: #deviceiscorrectlyused#
1691401178954@SensorListener: #calibrationdone#
1691401178986@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691401178987@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401179156@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401179358@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401179768@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #358#
1691401179971@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401179973@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691401182412@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401182583@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691401182786@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401182995@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691401184399@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401184804@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691401186417@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401187024@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691401190725@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401190842@AppManagement: #onpause#
