1677233599563 DebuggableApplications: Progetto Android Training
1677233599563 DebuggableApplications: Progetto Android
1677233599579 DeveloperOptions: adb: true devops: true
1677233599585 Ptracer: started
1677233599605 AppManagement: onResume
1677233600120 UsbChecker: ischarg: true usbcharg: false accharg: true
1677233601577 SensorListener: First calibration done
1677233601577 SensorListener: Device is correctly used
1677233601584 SensorListener: Calibration done
1677233601658 SensorListener: Texts: Azimuth NORTH Pitch EAST Roll NORTH
1677233621464 SensorListener: Numbers: Azimuth 352 Pitch -11 Roll 352
1677233621651 SensorListener: Numbers: Azimuth 353 Pitch -15 Roll 1
1677233621839 SensorListener: Numbers: Azimuth 354 Pitch -18 Roll 3
1677233622026 SensorListener: Numbers: Azimuth 353 Pitch -18 Roll 3
1677233622213 SensorListener: Numbers: Azimuth 353 Pitch -19 Roll 2
1677233622441 SensorListener: Numbers: Azimuth 353 Pitch -18 Roll 0
1677233622628 SensorListener: Numbers: Azimuth 354 Pitch -15 Roll 359
1677233622813 SensorListener: Numbers: Azimuth 353 Pitch -15 Roll 359
1677233623031 SensorListener: Numbers: Azimuth 354 Pitch -20 Roll 0
1677233623213 SensorListener: Numbers: Azimuth 350 Pitch -27 Roll 357
1677233623420 SensorListener: Numbers: Azimuth 353 Pitch -28 Roll 358
1677233623561 SensorListener: Numbers: Azimuth 358 Pitch -34 Roll 3
1677233623761 SensorListener: Numbers: Azimuth 356 Pitch -31 Roll 5
1677233623910 AppManagement: onPause
