1691741469978@DebuggableApplications: #MyCalc#
1691741469980@DebuggableApplications: #AudioRecorder#
1691741470005@DeveloperOptions: adb: #false# devops: #true#
1691741470007@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691741470016@Ptracer: #started#
1691741471994@SensorListener: #firstcalibrationdone#
1691741471994@SensorListener: #deviceiscorrectlyused#
1691741472082@SensorListener: #calibrationdone#
1691741472139@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691741472140@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691741472384@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741472547@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691741474250@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741474833@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691741475000@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741475001@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691741475132@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741475813@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741475815@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691741475923@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741476612@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691741476925@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741477159@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741477383@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741477384@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741477539@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741477749@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741477940@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741478142@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741478356@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741478563@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741478959@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741479861@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741480180@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741480484@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741480623@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741480624@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741481400@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741481988@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741482199@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741482370@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741482591@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741483658@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741483800@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741484010@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741484402@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741484605@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741484606@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741484792@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741485012@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741485204@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741485405@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741485406@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741485632@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741485813@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741486205@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741486206@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741486410@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741486880@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741487066@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741487438@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #359#
1691741487847@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741488034@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741488851@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741489044@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741489241@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741489539@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741489658@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691741489837@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691741490039@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691741490610@AppManagement: #onpause#
