1691405983957@DebuggableApplications: #MyCalc#
1691405983959@DebuggableApplications: #AudioRecorder#
1691405983983@DeveloperOptions: adb: #false# devops: #true#
1691405983993@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691405984001@Ptracer: #started#
1691405985979@SensorListener: #firstcalibrationdone#
1691405985979@SensorListener: #deviceiscorrectlyused#
1691405986014@SensorListener: #calibrationdone#
1691405986079@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691405986087@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691405986214@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405986617@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405986820@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405987432@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405987627@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405987832@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405988051@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405989441@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405989845@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405990283@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405990481@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405992264@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405993073@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405993275@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405993476@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405995089@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405995696@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405996704@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405996706@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691405999529@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691405999730@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #359#
1691405999930@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406000969@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406001368@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406001764@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691406002249@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691406002269@AppManagement: #onpause#
