1691401324465@DebuggableApplications: #MyCalc#
1691401324469@DebuggableApplications: #AudioRecorder#
1691401324502@DeveloperOptions: adb: #false# devops: #true#
1691401324505@Ptracer: #started#
1691401324518@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691401326502@SensorListener: #firstcalibrationdone#
1691401326502@SensorListener: #deviceiscorrectlyused#
1691401326630@SensorListener: #calibrationdone#
1691401326700@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691401326700@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401326832@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401327033@SensorListener: Numbers: Azimuth #359# Pitch #2# Roll #0#
1691401327839@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401328848@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401329252@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401330890@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401331068@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401336513@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401336715@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401336917@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401337118@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401341355@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401341556@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401341760@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #0#
1691401342048@SensorListener: Numbers: Azimuth #0# Pitch #2# Roll #359#
1691401342191@AppManagement: #onpause#
