1691409669497@DebuggableApplications: #MyCalc#
1691409669501@DebuggableApplications: #AudioRecorder#
1691409669525@DeveloperOptions: adb: #false# devops: #true#
1691409669529@Ptracer: #started#
1691409669540@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691409671519@SensorListener: #firstcalibrationdone#
1691409671519@SensorListener: #deviceiscorrectlyused#
1691409671661@SensorListener: #calibrationdone#
1691409671716@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691409671724@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691409671861@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409672267@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409672466@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409673123@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409673302@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409673475@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409674081@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409674283@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409674484@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409675090@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409675292@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409675494@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409676747@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409677511@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409677711@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409678318@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409678519@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409680182@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691409680336@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691409687580@AppManagement: #onpause#
