1691402186989@DebuggableApplications: #MyCalc#
1691402186993@DebuggableApplications: #AudioRecorder#
1691402187017@DeveloperOptions: adb: #false# devops: #true#
1691402187023@Ptracer: #started#
1691402187047@UsbChecker: ischarg: #false# usbcharg: #false# accharg: #false#
1691402189012@SensorListener: #firstcalibrationdone#
1691402189012@SensorListener: #deviceiscorrectlyused#
1691402189133@SensorListener: #calibrationdone#
1691402189151@SensorListener: Texts: Azimuth #NORTH# Pitch #EAST# Roll #NORTH#
1691402189151@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691402189335@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402189954@SensorListener: Numbers: Azimuth #359# Pitch #3# Roll #0#
1691402190162@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402191151@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691402201440@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402201843@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691402202248@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #359#
1691402202652@SensorListener: Numbers: Azimuth #0# Pitch #3# Roll #0#
1691402203402@AppManagement: #onpause#
