fakeclient=False
Start,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1687266911602276,alert,no,no,no,no,no,no,no,no,no
1687266911633274,alert,no,no,no,no,no,no,no,no,alert
168726691164932,alert,alert,no,no,no,no,no,no,no,alert
1687266944898385,alert,alert,no,no,no,alert,no,no,no,alert

