---------------------------- PROCESS STARTED (19913) for package com.progetto.tesi ----------------------------
2022-12-01 09:09:25.672 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:25.959 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 3 Roll 357
2022-12-01 09:09:25.959 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.258 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 356 Pitch 3 Roll 357
2022-12-01 09:09:26.258 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.549 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 2 Roll 357
2022-12-01 09:09:26.549 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.578 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 3 Roll 357
2022-12-01 09:09:26.579 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.806 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 2 Roll 357
2022-12-01 09:09:26.806 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.816 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 3 Roll 357
2022-12-01 09:09:26.816 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:26.831 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 357 Pitch 2 Roll 357
2022-12-01 09:09:26.831 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
