fakeclient=False
Start,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1688223560641872,alert,no,no,no,no,no,no,no,no,no
1688223560657451,alert,alert,no,no,no,no,no,no,no,no
1688223560690621,alert,alert,no,no,no,no,no,no,no,alert

