macrodroid=False
fakeclient=False
id,pid,spid,name,finished,start,finish,return
				,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
84,10812,10812,clock_gettime,True,1687266911538042,1687266911538872,0
85,10812,10812,gettimeofday,True,1687266911538971,1687266911539652,0
86,10812,10812,read,True,1687266911539776,1687266911544148,48
87,10812,10812,clock_gettime,True,1687266911544530,1687266911545153,0
88,10812,10812,read,True,1687266911550629,1687266911550974,48
89,10812,10812,getuid,True,1687266911551136,1687266911551408,10333
90,10812,10812,epoll_pwait,True,1687266911551523,1687266911552098,0
91,10812,10812,clock_gettime,True,1687266911552167,1687266911552717,0
92,10812,10812,clock_gettime,True,1687266911552818,1687266911553375,0
93,10812,10812,gettimeofday,True,1687266911553437,1687266911554429,0
94,10812,10812,read,True,1687266911554551,1687266911555257,48
95,10812,10812,clock_gettime,True,1687266911556218,1687266911556984,0
96,10812,10812,read,True,1687266911557103,1687266911557862,48
97,10812,10812,getuid,True,1687266911558117,1687266911559880,10333
98,10812,10812,epoll_pwait,True,1687266911560039,1687266911560969,0
99,10812,10812,clock_gettime,True,1687266911561087,1687266911562485,0
100,10812,10812,clock_gettime,True,1687266911562632,1687266911574412,0
101,10812,10812,gettimeofday,True,1687266911574496,1687266911583011,0
102,10812,10812,read,True,1687266911583088,1687266911583840,48
103,10812,10812,clock_gettime,True,1687266911584016,1687266911584630,0
104,10812,10812,read,True,1687266911584702,1687266911585258,48
105,10812,10812,getuid,True,1687266911585363,1687266911586589,10333
106,10812,10812,epoll_pwait,True,1687266911587000,1687266911588716,0
107,10812,10812,clock_gettime,True,1687266911589184,1687266911590063,0
108,10812,10812,clock_gettime,True,1687266911590180,1687266911595863,0
109,10812,10812,gettimeofday,True,1687266911596071,1687266911597709,0
110,10812,10812,read,True,1687266911597824,1687266911600490,48
111,10812,10812,clock_gettime,True,1687266911600918,1687266911601852,0
112,10812,10812,read,True,1687266911601954,1687266911602493,48
				1687266911602276,alert,no,no,no,no,no,no,no,no,no
