---------------------------- PROCESS STARTED (21585) for package com.progetto.tesi ----------------------------
2022-11-29 11:14:13.703 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:13.703 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.712 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:13.712 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.717 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:13.717 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.721 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:13.722 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.727 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:13.727 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.732 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 359
2022-11-29 11:14:13.732 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.787 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 3 Roll 0
2022-11-29 11:14:13.787 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-11-29 11:14:13.792 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 0
2022-11-29 11:14:13.792 21585-21585 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
