macrodroid=False
fakeclient=False
id,pid,spid,name,finished,start,finish,return,Timestamp,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1,14730,14730,clock_gettime,True,1688223414138027,1688223414140117,01688223414138027,no,no,no,no,no,no,no,no,no,no
2,14730,14730,clock_gettime,True,1688223414140534,1688223414141241,0,1688223414140534,no,no,no,no,no,no,no,no,no,no
3,14730,14730,clock_gettime,True,1688223414141605,1688223414145342,0,1688223414141605,no,no,no,no,no,no,no,no,no,no
4,14730,14730,clock_gettime,True,1688223414145451,1688223414146664,0,1688223414145451,no,no,no,no,no,no,no,no,no,no
5,14730,14730,clock_gettime,True,1688223414147499,1688223414151826,0,1688223414147499,no,no,no,no,no,no,no,no,no,no
6,14730,14730,clock_gettime,True,1688223414152019,1688223414152964,0,1688223414152019,no,no,no,no,no,no,no,no,no,no
7,14730,14730,ioctl,True,1688223414153329,1688223414155057,0,1688223414153329,no,no,no,no,no,no,no,no,no,no
8,14730,14730,clock_gettime,True,1688223414155176,1688223414155636,0,1688223414155176,no,no,no,no,no,no,no,no,no,no
9,14730,14730,ioctl,True,1688223414155762,1688223414163885,0,1688223414155762,no,no,no,no,no,no,no,no,no,no
10,14896,14896,clock_gettime,True,1688223560287720,1688223560288460,0,1688223560287720,no,no,no,no,no,no,no,no,no,no
11,14896,14896,clock_gettime,True,1688223560288842,1688223560289671,0,1688223560288842,no,no,no,no,no,no,no,no,no,no
12,14896,14896,clock_gettime,True,1688223560289801,1688223560290767,0,1688223560289801,no,no,no,no,no,no,no,no,no,no
13,14896,14896,clock_gettime,True,1688223560298044,1688223560300977,0,1688223560298044,no,no,no,no,no,no,no,no,no,no
14,14896,14896,futex,True,1688223560301194,1688223560302037,1,1688223560301194,no,no,no,no,no,no,no,no,no,no
15,14896,14896,futex,True,1688223560302121,1688223560303156,1,1688223560302121,no,no,no,no,no,no,no,no,no,no
16,14896,14896,clock_gettime,True,1688223560303322,1688223560304187,0,1688223560303322,no,no,no,no,no,no,no,no,no,no
17,14896,14896,ioctl,True,1688223560304307,1688223560315775,0,1688223560304307,no,no,no,no,no,no,no,no,no,no
