fakeclient=False
Start,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1688223962878688,alert,alert,no,no,no,no,no,no,no,no
1688223962885857,alert,alert,no,no,no,no,no,no,no,alert
168822396316052,alert,alert,no,no,no,no,no,alert,no,alert
1688224042781185,alert,alert,no,no,no,no,no,alert,alert,alert

