fakeclient=False
Start,DebugApp,DeveloperOptions,ChargingType,PtracerStarted,StationaryDevice,SensorAlert,DebuggerFound,InstructionMuchTime,SubsequenceFound,SequenceNotSecure
1688557758732,alert,no,no,no,no,no,no,no,no,no
1688557758751,alert,alert,no,no,no,no,no,no,no,no
1688557760266,alert,alert,no,no,no,no,no,no,no,alert
1688557762717,alert,alert,alert,no,no,no,no,no,no,alert

